point_id,corner_label,temp_c,vdd_v,amp_v_peak_per_tone,src_tone_v_peak_measured,pin_avail_dbm_per_tone,pout_dbm_per_tone,pim3_dbm,gain_db,iip3_dbm,oip3_dbm,iip3_dbm_dft_crosscheck,v_tone1_out_v,v_tone2_out_v,v_im3l_out_v,v_im3h_out_v,v_im5_out_v,im3_over_im5_db,ic1_a,idd_a,fft_npts,fft_df_hz
iip3_typ_-40c_vdd1.80v_a1mv,typ,-40,1.80,1.000000e-03,9.996210e-04,-56.0206,-44.1004,-152.6158,11.9202,-1.7629,10.1573,-1.7614,1.973610e-03,1.971060e-03,7.412910e-09,7.386410e-09,5.997855e-11,41.82,3.972200e-03,4.732540e-03,65536,3.814700e+06
iip3_typ_-40c_vdd1.80v_a2mv,typ,-40,1.80,2.000000e-03,1.999240e-03,-50.0000,-38.0800,-134.5906,11.9200,-1.7447,10.1753,-1.7443,3.947120e-03,3.942030e-03,5.898380e-08,5.891210e-08,1.247024e-10,53.49,3.972200e-03,4.732540e-03,65536,3.814700e+06
iip3_typ_-40c_vdd1.98v_a1mv,typ,-40,1.98,1.000000e-03,9.996210e-04,-56.0206,-44.0704,-153.3085,11.9502,-1.4015,10.5487,-1.3998,1.980460e-03,1.977870e-03,6.840750e-09,6.824030e-09,5.788890e-11,41.44,4.080880e-03,4.857050e-03,65536,3.814700e+06
iip3_typ_-40c_vdd1.98v_a2mv,typ,-40,1.98,2.000000e-03,1.999240e-03,-50.0000,-38.0499,-135.2617,11.9501,-1.3941,10.5559,-1.3937,3.960830e-03,3.955660e-03,5.452430e-08,5.460630e-08,1.105440e-10,53.87,4.080880e-03,4.857050e-03,65536,3.814700e+06
iip3_typ_125c_vdd1.62v_a1mv,typ,125,1.62,1.000000e-03,9.996210e-04,-56.0206,-45.2888,-155.3403,10.7318,-0.9949,9.7369,-0.9942,1.720820e-03,1.719420e-03,5.544780e-09,5.269950e-09,5.537470e-11,39.79,3.823140e-03,4.600040e-03,65536,3.814700e+06
iip3_typ_125c_vdd1.62v_a2mv,typ,125,1.62,2.000000e-03,1.999240e-03,-50.0000,-39.2685,-137.3208,10.7315,-0.9739,9.7576,-0.9737,3.441530e-03,3.438740e-03,4.428920e-08,4.180850e-08,1.129686e-10,51.62,3.823140e-03,4.600040e-03,65536,3.814700e+06
iip3_typ_125c_vdd1.80v_a1mv,typ,125,1.80,1.000000e-03,9.996210e-04,-56.0206,-45.2448,-155.8624,10.7758,-0.7118,10.0640,-0.7111,1.729570e-03,1.728140e-03,5.218760e-09,4.965000e-09,5.364680e-11,39.55,3.898720e-03,4.692120e-03,65536,3.814700e+06
iip3_typ_125c_vdd1.80v_a2mv,typ,125,1.80,2.000000e-03,1.999240e-03,-50.0000,-39.2245,-137.8395,10.7755,-0.6925,10.0830,-0.6923,3.459040e-03,3.456180e-03,4.162150e-08,3.948460e-08,1.122340e-10,51.16,3.898720e-03,4.692120e-03,65536,3.814700e+06
iip3_typ_125c_vdd1.98v_a1mv,typ,125,1.98,1.000000e-03,9.996210e-04,-56.0206,-45.2023,-156.3829,10.8183,-0.4303,10.3881,-0.4295,1.738080e-03,1.736620e-03,4.894200e-09,4.697270e-09,5.549370e-11,38.73,3.976790e-03,4.786370e-03,65536,3.814700e+06
iip3_typ_125c_vdd1.98v_a2mv,typ,125,1.98,2.000000e-03,1.999240e-03,-50.0000,-39.1819,-138.3846,10.8181,-0.3986,10.4195,-0.3984,3.476080e-03,3.473150e-03,3.894680e-08,3.722570e-08,1.135673e-10,50.51,3.976790e-03,4.786370e-03,65536,3.814700e+06
